step,fundamental,mid,spread,bid_depth,ask_depth,inventory,cash,pnl,trades
0,99.98,100.055,1.45,190,172,-10,1006.3,5.75,2
1,100.01,99.975,1.53,173,190,0,12.0,12.0,4
2,100.02,100.095,1.45,190,172,-10,1018.7,17.75,6
3,100.04,100.11,1.3,186,190,-6,620.86,20.2,7
4,100.12,100.215,1.41,190,177,-16,1628.96,25.52,9
5,100.09,100.225,1.33,190,172,-26,2637.56,31.71,11
6,100.12,100.29,1.26,190,180,-26,2637.56,30.02,12
7,100.08,100.25,1.26,186,190,-22,2239.08,33.58,13
8,100.01,100.165,1.29,187,190,-19,1940.52,37.385,14
9,99.97,99.965,1.59,174,190,-9,945.92,46.235,16
10,99.94,99.9,1.52,175,190,1,-47.68,52.22,18
11,99.88,99.87,1.3,190,184,-5,555.44,56.09,19
12,99.87,99.815,1.49,179,190,5,-437.16,61.915,21
13,99.83,99.79,1.3,190,190,5,-437.16,61.79,21
14,99.79,99.845,1.49,190,179,-5,566.84,67.615,23
15,99.95,99.99,1.3,190,188,-7,768.12,68.19,24
16,99.97,99.92,1.5,179,190,3,-225.58,74.18,26
17,99.96,100.025,1.47,190,174,-7,780.32,80.145,28
18,99.9,99.95,1.3,190,190,-7,780.32,80.67,28
19,99.87,99.92,1.3,190,190,-7,780.32,80.88,28
20,99.78,99.73,1.5,175,190,3,-211.48,87.71,30
21,99.79,99.855,1.47,190,178,-7,792.72,93.735,32
22,99.86,99.91,1.3,190,188,-9,993.84,94.65,33
23,99.87,99.94,1.3,190,182,-17,1798.56,99.58,34
24,99.76,99.895,1.33,190,177,-27,2803.86,106.695,36
25,99.84,99.84,1.6,176,190,-17,1809.96,112.68,38
26,99.87,100.005,1.33,190,177,-27,2816.36,116.225,40
27,99.83,100.005,1.25,190,190,-27,2816.36,116.225,40
28,99.85,100.025,1.25,190,174,-27,2816.36,115.685,41
29,99.88,100.055,1.25,190,190,-27,2816.36,114.875,41
30,99.9,99.9,1.6,179,190,-17,1821.86,123.56,43
31,99.94,100.06,1.3,190,190,-17,1821.86,120.84,43
32,99.91,100.03,1.3,188,190,-15,1623.1,122.65,44
33,99.84,99.82,1.56,172,190,-5,630.1,131.0,46
34,99.79,99.83,1.3,188,190,-3,431.74,132.25,47
35,99.83,99.765,1.47,175,190,7,-560.26,138.095,49
36,99.86,99.81,1.3,190,185,2,-57.96,141.66,50
37,99.91,99.9,1.3,189,190,3,-157.21,142.49,51
38,99.95,99.865,1.43,178,190,13,-1150.01,148.235,53
39,99.97,99.88,1.3,190,186,9,-747.89,151.03,54
40,100.08,100.02,1.3,190,187,6,-445.88,154.24,55
41,99.93,99.89,1.3,181,190,15,-1339.04,159.31,56
42,99.84,99.86,1.56,190,173,5,-335.24,164.06,58
43,99.85,99.81,1.3,189,190,6,-434.4,164.46,59
44,99.85,99.81,1.3,190,181,-3,469.74,170.31,60
45,99.8,99.735,1.47,178,190,7,-521.96,176.185,62
46,99.81,99.76,1.3,190,190,7,-521.96,176.36,62
47,99.74,99.69,1.3,190,183,0,180.42,180.42,63
48,99.78,99.78,1.3,190,190,0,180.42,180.42,63
49,99.68,99.605,1.45,178,190,10,-809.88,186.17,65
50,99.66,99.59,1.3,190,190,10,-809.88,186.02,65
51,99.48,99.52,1.52,190,178,0,190.72,190.72,67
52,99.35,99.35,1.3,190,190,0,190.72,190.72,67
53,99.4,99.4,1.3,190,190,0,190.72,190.72,67
54,99.37,99.37,1.3,190,183,-7,890.86,195.27,68
55,99.4,99.45,1.3,189,190,-6,792.06,195.36,69
56,99.31,99.35,1.3,190,190,-6,792.06,195.96,69
57,99.32,99.265,1.49,177,190,4,-195.04,202.02,71
58,99.34,99.4,1.48,190,179,-6,804.56,208.16,73
59,99.24,99.185,1.49,177,190,4,-181.74,215.0,75
60,99.14,99.11,1.3,190,185,-1,317.06,217.95,76
61,99.16,99.09,1.46,175,190,9,-668.14,223.67,78
62,99.17,99.11,1.3,190,190,9,-668.14,223.85,78
63,99.14,99.08,1.3,190,190,9,-668.14,223.58,78
64,99.11,99.05,1.3,190,189,8,-568.44,223.96,79
65,99.06,99.0,1.3,190,190,8,-568.44,223.56,79
66,99.06,99.0,1.3,190,190,8,-568.44,223.56,79
67,99.03,98.97,1.3,183,190,15,-1256.68,227.87,80
68,99.05,98.945,1.29,190,182,7,-459.96,232.655,81
69,99.01,98.96,1.3,190,190,7,-459.96,232.76,81
70,98.98,98.93,1.3,190,190,7,-459.96,232.55,81
71,99.05,98.95,1.4,175,190,17,-1443.46,238.69,83
72,98.99,98.855,1.33,173,190,27,-2425.66,243.425,85
73,98.9,98.9,1.6,190,173,17,-1432.06,249.24,87
74,98.96,98.84,1.3,190,185,12,-934.61,251.47,88
75,98.97,98.89,1.3,190,186,8,-536.45,254.67,89
76,98.92,98.86,1.3,186,190,12,-929.29,257.03,90
77,98.9,98.82,1.3,190,190,12,-929.29,256.55,90
78,98.94,98.975,1.53,190,175,2,65.81,263.76,92
79,98.95,98.94,1.3,187,190,5,-229.06,265.64,93
80,98.87,98.84,1.3,181,190,14,-1112.77,270.99,94
81,98.9,98.775,1.35,174,190,24,-2094.27,276.33,96
82,98.85,98.69,1.28,181,190,24,-2094.27,274.29,97
83,98.85,98.69,1.28,190,190,24,-2094.27,274.29,97
84,98.88,98.88,1.6,190,177,14,-1100.67,283.65,99
85,98.85,98.75,1.3,190,182,6,-305.47,287.03,100
86,98.81,98.77,1.3,190,185,1,191.63,290.4,101
87,98.83,98.82,1.3,190,190,1,191.63,290.45,101
88,98.79,98.86,1.46,190,175,-9,1185.93,296.19,103
89,98.75,98.705,1.51,177,190,1,204.33,303.035,105
90,98.78,98.85,1.46,190,176,-9,1198.53,308.88,107
91,98.76,98.82,1.3,190,190,-9,1198.53,309.15,107
